  链接平台 http://www.alivv.com              alivv
  北京百度优化 http://www.yidier.net         出售
  雷脑软件技术网 http://www.leinao.com       交换
  全讯网 http://www.9110.com/                出售
  ecig http://www.ecig-ecig.com/             出售
  3d图库 http://www.th3d.net                 出售
  全讯网 http://www.9995432.com/             出售
  返利网 http://www.daotaoke.com             出售
  U影 http://www.cngujian.cn                 出售
  比分直播 http://www.90bfw.com/             出售 
  小游戏 http://www.7001.com                 出售
  蓝盾在线 http://www.ld7899.com   	     出售
  免费优惠券 http://www.lqrj8.com            交换
  购物心得 http://www.mln8.com    	     交换
